280.00000,4105.44385
280.50000,4105.07861
281.00000,4106.18799
281.50000,4109.91016
282.00000,4116.03711
282.50000,4124.21924
283.00000,4133.25146
283.50000,4141.38965
284.00000,4147.18164
284.50000,4150.05518
285.00000,4150.07422
285.50000,4147.10547
286.00000,4142.49854
286.50000,4137.49854
287.00000,4133.49561
287.50000,4131.31201
288.00000,4131.80615
288.50000,4134.74268
289.00000,4139.50342
289.50000,4144.97900
290.00000,4150.07520
290.50000,4154.16846
291.00000,4156.93213
291.50000,4158.48926
292.00000,4158.60156
292.50000,4157.41943
293.00000,4154.97949
293.50000,4151.17529
294.00000,4146.53955
294.50000,4141.61230
295.00000,4137.38867
295.50000,4134.75781
296.00000,4134.75439
296.50000,4137.42285
297.00000,4142.55518
297.50000,4149.51953
298.00000,4156.37354
298.50000,4160.74902
299.00000,4160.92773
299.50000,4156.81055
300.00000,4148.72559
300.50000,4139.47412
301.00000,4132.21680
301.50000,4130.35889
302.00000,4133.46338
302.50000,4140.52930
303.00000,4148.75244
303.50000,4155.56299
304.00000,4158.78223
304.50000,4159.37012
305.00000,4159.44043
305.50000,4161.03760
306.00000,4164.71826
306.50000,4169.89893
307.00000,4174.28516
307.50000,4175.49219
308.00000,4171.76563
308.50000,4164.56445
309.00000,4155.48096
309.50000,4146.81543
310.00000,4140.33398
310.50000,4137.47705
311.00000,4137.61377
311.50000,4140.00049
312.00000,4144.48291
312.50000,4150.23682
313.00000,4156.80322
313.50000,4163.07520
314.00000,4167.72266
314.50000,4169.31787
315.00000,4167.74219
315.50000,4163.75732
316.00000,4158.79297
316.50000,4155.14063
317.00000,4154.22803
317.50000,4155.91992
318.00000,4158.75098
318.50000,4161.04004
319.00000,4161.51465
319.50000,4159.91016
320.00000,4157.29639
320.50000,4155.49561
321.00000,4155.57861
321.50000,4157.52979
322.00000,4160.11963
322.50000,4161.38867
323.00000,4159.72559
323.50000,4155.24414
324.00000,4148.99365
324.50000,4143.20020
325.00000,4140.01416
325.50000,4140.97900
326.00000,4146.09033
326.50000,4154.36328
327.00000,4163.43311
327.50000,4171.49707
328.00000,4176.68896
328.50000,4178.56299
329.00000,4176.47412
329.50000,4171.48340
330.00000,4165.16650
330.50000,4158.82031
331.00000,4153.52148
331.50000,4149.84570
332.00000,4148.00879
332.50000,4147.36133
333.00000,4147.51709
333.50000,4148.39844
334.00000,4150.18750
334.50000,4153.45508
335.00000,4158.01660
335.50000,4163.30957
336.00000,4167.93848
336.50000,4170.91357
337.00000,4171.52441
337.50000,4170.31641
338.00000,4168.46826
338.50000,4167.75098
339.00000,4169.03613
339.50000,4172.22510
340.00000,4176.42236
340.50000,4180.36572
341.00000,4183.00146
341.50000,4184.07422
342.00000,4184.03418
342.50000,4183.63818
343.00000,4183.47754
343.50000,4183.78076
344.00000,4184.59180
344.50000,4185.85400
345.00000,4187.82324
345.50000,4190.50391
346.00000,4193.60059
346.50000,4196.32373
347.00000,4197.75684
347.50000,4196.92725
348.00000,4193.51416
348.50000,4188.64746
349.00000,4184.23535
349.50000,4181.87207
350.00000,4182.31396
350.50000,4185.65527
351.00000,4190.20215
351.50000,4194.10254
352.00000,4195.96338
352.50000,4195.90137
353.00000,4194.51953
353.50000,4193.17871
354.00000,4192.84619
354.50000,4194.17188
355.00000,4196.66113
355.50000,4199.66943
356.00000,4202.68213
356.50000,4205.50000
357.00000,4208.04736
357.50000,4210.29785
358.00000,4211.90576
358.50000,4212.31348
359.00000,4211.49170
359.50000,4209.56348
360.00000,4207.31201
360.50000,4205.65430
361.00000,4205.74023
361.50000,4207.60449
362.00000,4210.48242
362.50000,4213.02979
363.00000,4213.98682
363.50000,4212.08057
364.00000,4207.15332
364.50000,4199.86719
365.00000,4191.70313
365.50000,4184.63525
366.00000,4180.14893
366.50000,4179.29785
367.00000,4181.56836
367.50000,4186.30518
368.00000,4191.49854
368.50000,4195.34424
369.00000,4196.25732
369.50000,4194.44971
370.00000,4190.16797
370.50000,4184.29297
371.00000,4177.99658
371.50000,4172.21191
372.00000,4167.40723
372.50000,4163.82764
373.00000,4161.91406
373.50000,4161.41064
374.00000,4162.11328
374.50000,4163.14453
375.00000,4163.22803
375.50000,4161.07324
376.00000,4156.61133
376.50000,4150.44580
377.00000,4143.91650
377.50000,4138.74072
378.00000,4136.73193
378.50000,4138.04053
379.00000,4141.61328
379.50000,4146.39990
380.00000,4150.94824
380.50000,4154.33398
381.00000,4155.78857
381.50000,4155.47559
382.00000,4153.66162
382.50000,4151.01758
383.00000,4148.40283
383.50000,4147.00293
384.00000,4147.58594
384.50000,4150.71436
385.00000,4156.12695
385.50000,4161.96631
386.00000,4166.43018
386.50000,4168.07764
387.00000,4166.60498
387.50000,4162.07959
388.00000,4156.59961
388.50000,4152.27832
389.00000,4150.94922
389.50000,4152.77100
390.00000,4157.69434
390.50000,4164.34570
391.00000,4171.16992
391.50000,4176.24170
392.00000,4178.90967
392.50000,4179.06494
393.00000,4177.15820
393.50000,4174.25342
394.00000,4171.00098
394.50000,4167.74561
395.00000,4164.22607
395.50000,4159.70801
396.00000,4154.10059
396.50000,4147.65039
397.00000,4141.25732
397.50000,4135.94971
398.00000,4132.84766
398.50000,4132.03809
399.00000,4132.77588
399.50000,4134.39404
400.00000,4136.34131
400.50000,4138.77832
401.00000,4142.20801
401.50000,4146.88477
402.00000,4152.79980
402.50000,4158.73730
403.00000,4163.70996
403.50000,4166.97803
404.00000,4169.10352
404.50000,4170.98779
405.00000,4173.79004
405.50000,4177.78760
406.00000,4181.82959
406.50000,4183.96533
